
,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
165,Chandler Stephenson\stephch02,WSH,C,0:39,64,,10:20,-3.7,1.3,2.6,,0:00,-36.3,0.0,0.0,,1:45,-0.2,0.5,5.8
166,Charles Hudon\hudonch01,MTL,LW,0:42,32,,10:04,-7.0,1.7,3.2,,1:35,3.6,2.4,0.0,,0:00,,,
167,Charlie Coyle\coylech01,TOT,C/RW,0:54,81,,14:00,-1.2,1.4,1.8,,1:44,-10.0,6.8,0.0,,1:02,-11.9,0.0,19.5
168,Charlie McAvoy\mcavoch01,BOS,D,0:53,54,,19:17,1.0,3.7,2.8,,1:34,-8.0,4.2,2.8,,1:17,7.0,1.7,2.6
169,Chase De Leo\deleoch01,ANA,C,0:41,1,,12:01,1.7,5.4,0.0,,0:00,,,,,0:31,,0.0,0.0
170,Chris Butler\butlech01,STL,D,0:43,13,,13:05,5.2,2.5,1.4,,0:00,,0.0,0.0,,0:56,-4.0,0.0,14.8
171,Chris Kreider\kreidch01,NYR,C,0:44,79,,14:44,5.5,3.5,3.2,,2:36,0.9,8.4,0.6,,0:03,-14.4,0.0,12.2
172,Chris Kunitz\kunitch01,CHI,LW,0:38,56,,8:47,0.4,1.8,2.7,,0:12,-7.5,0.0,0.0,,0:03,-11.3,0.0,19.0
173,Chris Tanev\tanevch01,VAN,D,0:50,55,,16:46,-5.0,2.5,2.4,,0:07,-19.5,0.0,0.0,,3:16,-4.1,0.6,8.1
174,Chris Thorburn\thorbch01,STL,RW,0:37,1,,1:52,-39.8,0.0,0.0,,0:00,,,,,0:00,,,
175,Chris Tierney\tiernch01,OTT,C,0:45,81,,13:37,-2.7,2.9,4.0,,1:43,-4.1,7.7,1.3,,1:41,3.6,0.4,7.4
176,Chris Wagner\wagnech01,BOS,C,0:48,76,,11:57,-4.3,2.2,1.9,,0:02,-33.5,0.0,16.1,,1:26,2.5,0.0,6.0
177,Chris Wideman\widemch01,TOT,D,0:44,25,,10:53,3.2,2.0,4.0,,2:08,-7.9,7.5,1.3,,0:00,-13.0,0.0,0.0
178,Christian Djoos\djoosch01,WSH,D,0:45,45,,13:28,2.0,2.8,1.9,,0:04,-10.2,0.0,0.0,,0:01,-15.4,0.0,110.8
179,Christian Dvorak\dvorach01,ARI,C,0:38,20,,13:00,-0.3,2.3,2.8,,1:19,-9.5,2.3,0.0,,0:02,,,
180,Christian Fischer\fischch01,ARI,RW,0:42,71,,11:30,2.3,1.7,2.3,,1:38,-7.2,4.2,2.1,,0:00,32.5,0.0,0.0
181,Christian Folin\folinch01,TOT,D,0:44,45,,14:38,-5.6,2.9,2.7,,0:01,,0.0,0.0,,0:59,2.0,0.0,9.7
182,Christian Jaros\jarosch01,OTT,D,0:38,61,,13:28,-2.9,1.9,3.0,,0:17,2.9,13.2,0.0,,0:35,-7.2,1.7,13.3
183,Christian Wolanin\wolanch01,OTT,D,0:48,30,,15:23,2.5,3.9,3.2,,1:52,-4.6,6.4,2.1,,0:03,84.5,0.0,0.0
184,Christoffer Ehn\ehnch01,DET,C,0:41,60,,9:49,-7.3,1.3,1.9,,0:00,-84.3,0.0,55.4,,0:46,1.9,1.3,7.8
185,Clark Bishop\bishocl01,CAR,C,0:46,20,,9:06,-3.2,2.6,3.6,,0:08,-7.4,0.0,0.0,,0:12,-10.2,0.0,0.0
186,Claude Giroux\giroucl01,PHI,C/RW,0:48,82,,16:11,6.6,4.0,3.4,,3:31,11.1,6.9,1.0,,1:44,11.2,0.8,5.1
187,Clayton Keller\kellecl01,ARI,C,0:38,82,,14:34,1.2,2.3,3.1,,3:31,7.3,5.6,1.0,,0:08,-12.4,0.0,6.8
188,Cody Ceci\cecico01,OTT,D,0:57,74,,19:35,-1.9,2.7,3.6,,0:28,-14.6,5.2,0.0,,2:29,1.2,0.0,8.1
189,Cody Eakin\eakinco01,VEG,C,0:49,78,,12:56,-6.5,3.0,2.2,,1:07,-3.0,4.2,0.0,,1:19,-1.1,2.3,7.5
190,Cody Goloubef\golouco01,OTT,D,0:39,5,,10:32,-5.4,1.1,1.1,,0:00,,,,,0:16,89.4,0.0,0.0
191,Cody McLeod\mcleoco01,TOT,LW,0:43,38,,6:28,-10.0,1.1,4.0,,0:00,,0.0,0.0,,0:00,,0.0,0.0
192,Colby Cave\caveco01,TOT,C,0:40,53,,10:53,4.9,1.0,1.7,,0:27,9.6,0.0,0.0,,0:57,-9.1,0.0,13.6
193,Colin Blackwell\blackco01,NSH,C,0:44,6,,9:38,7.1,0.0,1.0,,0:05,-36.8,0.0,0.0,,0:00,,,
194,Colin Miller\milleco02,VEG,D,0:47,65,,16:40,3.0,2.4,2.7,,2:22,-1.3,6.6,0.0,,0:35,16.2,6.2,1.6
195,Colin White\whiteco02,OTT,C,0:43,71,,13:51,3.4,2.6,3.8,,2:07,11.7,7.6,1.6,,0:12,-3.8,0.0,11.8
196,Colin Wilson\wilsoco01,COL,C,0:40,65,,11:28,-2.1,2.3,2.7,,2:04,3.0,7.6,0.4,,0:00,-13.0,0.0,0.0
197,Colton Parayko\parayco01,STL,D,1:00,80,,20:03,-2.4,2.7,1.9,,1:18,2.5,7.6,0.6,,1:24,-2.9,0.0,3.0
198,Colton Sceviour\scevico01,FLA,C/RW,0:38,59,,10:13,-2.8,2.4,2.6,,0:02,-45.6,17.3,0.0,,2:01,4.5,0.0,6.0
199,Colton Sissons\sissoco01,NSH,C,0:40,75,,12:54,-2.9,3.0,1.8,,1:10,0.4,6.2,1.4,,1:58,-4.0,0.8,7.3
200,Colton White\whiteco03,NJD,D,0:43,3,,13:51,-14.7,1.4,4.3,,0:18,12.5,0.0,0.0,,0:03,,,
201,Connor Brickley\brickco01,NYR,C,0:44,14,,8:58,-9.3,2.4,1.0,,0:00,,,,,0:00,,,
202,Connor Brown\brownco02,TOR,RW,0:48,82,,11:35,-2.9,2.4,1.9,,0:14,-1.3,5.1,0.0,,1:57,-5.3,1.1,6.0
203,Connor Carrick\carrico01,TOT,D,0:50,34,,15:31,-3.1,1.4,3.9,,0:51,10.1,0.0,0.0,,0:24,-0.2,0.0,0.0
204,Connor Clifton\cliftco01,BOS,D,0:40,19,,17:01,2.3,2.0,1.1,,0:02,,0.0,0.0,,0:38,0.0,0.0,9.9
205,Connor McDavid\mcdavco01,EDM,C,0:45,78,,18:47,3.8,4.0,3.8,,3:25,8.1,9.4,0.7,,0:37,13.7,3.7,12.3
206,Connor Murphy\murphco02,CHI,D,0:50,52,,17:22,-0.4,3.1,2.5,,0:01,10.6,0.0,0.0,,2:05,2.1,1.1,11.0
207,Conor Garland\garlaco01,ARI,RW,0:38,47,,10:23,5.7,2.0,1.5,,2:23,3.5,7.5,1.6,,0:00,,,
208,Conor Sheary\shearco01,BUF,LW,0:43,78,,12:53,1.0,2.3,3.2,,1:42,-1.3,6.8,0.9,,0:01,-11.5,0.0,22.8
209,Cooper Marody\marodco01,EDM,C,0:39,6,,6:49,5.5,0.0,0.0,,0:05,-79.2,0.0,109.1,,0:00,,,
210,Corban Knight\knighco01,PHI,C,0:43,23,,8:44,-9.4,1.2,2.7,,0:03,,,,,0:53,-12.6,0.0,7.9
211,Corey Perry\perryco01,ANA,RW,0:53,31,,12:59,-2.1,1.2,3.1,,1:49,-5.6,5.3,3.2,,0:00,,0.0,0.0
212,Cory Conacher\conacco01,TBL,LW,0:39,1,,8:26,16.2,0.0,0.0,,0:09,,,,,0:00,,,
213,Craig Smith\smithcr01,NSH,C,0:45,76,,12:36,1.3,2.7,1.9,,2:30,2.3,5.7,0.3,,0:00,33.4,0.0,0.0
214,Curtis Lazar\lazarcu01,CGY,C/RW,0:32,1,,4:48,7.7,0.0,12.5,,0:00,,,,,0:00,,,
215,Dakota Mermis\mermida01,ARI,D,0:40,1,,11:20,5.6,5.3,0.0,,0:00,,,,,0:00,,,
216,Dale Weise\weiseda01,TOT,RW,0:29,51,,10:22,-4.3,1.8,2.6,,0:06,-7.1,0.0,12.6,,1:17,-8.8,0.9,9.7
217,Dalton Prout\proutda01,CGY,D,0:46,20,,11:53,-1.5,2.8,2.8,,0:01,-83.3,0.0,0.0,,1:11,-1.0,2.5,5.0
218,Damon Severson\severda01,NJD,D,0:43,82,,18:05,-0.8,2.5,3.6,,2:27,1.2,5.4,1.4,,1:29,4.4,1.8,5.8
219,Dan Girardi\girarda01,TBL,D,0:54,62,,15:30,-1.6,3.2,3.1,,0:01,-84.4,0.0,0.0,,2:15,2.1,1.7,4.8
220,Dan Hamhuis\hamhuda01,NSH,D,0:44,57,,14:20,-3.9,1.9,2.1,,0:01,-85.9,0.0,0.0,,1:40,-8.7,0.6,4.4
221,Danick Martel\marteda01,TBL,LW,0:44,9,,10:00,-3.6,2.7,0.7,,0:01,-82.5,0.0,0.0,,0:09,-10.9,0.0,0.0
222,Daniel Brickley\brickda01,LAK,D,0:59,4,,12:33,-6.1,2.4,4.8,,0:02,,0.0,0.0,,0:12,-11.1,0.0,0.0
223,Daniel Carr\carrda01,VEG,LW,0:37,6,,9:41,10.1,2.1,3.1,,0:08,,0.0,0.0,,0:00,,,
224,Daniel O'Regan\oregada01,BUF,C,0:47,1,,11:03,-3.3,0.0,0.0,,0:53,0.0,0.0,0.0,,0:00,,,
225,Daniel Sprong\spronda01,TOT,RW,0:41,63,,10:41,0.1,2.2,3.1,,1:15,-5.9,4.8,0.0,,0:00,,,
226,Danny DeKeyser\dekeyda01,DET,D,0:49,52,,19:13,0.8,3.0,2.9,,0:13,-43.4,0.0,4.6,,2:30,-1.2,0.0,10.6
227,Dante Fabbro\fabbrda01,NSH,D,0:48,4,,12:31,0.4,1.2,2.4,,0:00,,,,,0:13,,0.0,0.0
228,Danton Heinen\heineda01,BOS,C/LW,0:53,77,,12:28,-0.3,2.4,1.4,,1:22,2.7,8.0,1.7,,0:07,-6.8,0.0,12.0
229,Darnell Nurse\nurseda01,EDM,D,0:49,82,,20:03,-2.2,2.8,3.0,,1:50,-2.6,9.1,0.8,,1:55,-2.7,1.1,9.9
230,Darren Archibald\archida02,TOT,RW,0:49,12,,7:22,-10.0,2.6,3.5,,0:00,,,,,0:00,,0.0,0.0
231,Darren Helm\helmda01,DET,C/LW,0:45,61,,12:38,-1.1,2.0,3.0,,0:03,15.9,0.0,0.0,,1:52,4.9,1.0,13.1
232,David Backes\backeda01,BOS,C,0:39,70,,11:12,1.4,1.8,1.5,,1:39,-3.5,8.9,2.1,,0:10,8.4,0.0,14.6
233,David Kampf\kampfda01,CHI,C,0:39,63,,11:57,-0.8,2.2,2.6,,0:06,12.0,0.0,0.0,,1:51,-3.6,0.0,8.2
234,David Krejci\krejcda01,BOS,C,0:50,81,,15:15,4.8,3.4,2.6,,2:15,-4.3,7.9,3.0,,0:10,0.4,0.0,8.5
235,David Pastrnak\pastrda01,BOS,RW,0:47,66,,15:20,4.1,3.7,2.9,,3:22,6.9,12.2,2.2,,0:02,4.8,0.0,31.6
236,David Perron\perroda01,STL,LW,0:49,57,,14:43,0.6,2.8,2.4,,2:20,-3.8,8.6,1.4,,0:01,-12.8,0.0,0.0
237,David Savard\savarda01,CBJ,D,0:46,82,,17:57,-0.8,3.1,2.3,,0:04,-36.6,0.0,0.0,,1:42,2.4,0.4,4.7
238,David Schlemko\schleda01,MTL,D,0:43,18,,16:17,4.2,2.7,2.9,,1:21,12.1,7.3,0.0,,2:12,-5.4,0.0,12.1
239,Dean Kukan\kukande01,CBJ,D,0:42,25,,13:25,1.8,2.3,1.3,,0:01,,0.0,0.0,,0:01,,,
240,Denis Gurianov\guriade01,DAL,RW,0:38,21,,9:43,-6.6,0.9,1.8,,1:06,-3.6,7.8,0.0,,0:02,,0.0,0.0
241,Denis Malgin\malgide01,FLA,C,0:36,50,,11:50,1.7,2.1,3.1,,0:30,-1.5,2.5,0.0,,0:32,-3.1,0.0,2.1
242,Dennis Cholowski\cholode01,DET,D,0:45,52,,15:35,1.3,2.1,3.4,,2:27,0.0,7.6,1.4,,0:12,8.0,0.0,5.3
243,Dennis Gilbert\gilbede01,CHI,D,0:45,1,,12:46,-0.5,0.0,0.0,,0:00,,,,,0:00,,,
244,Derek Forbort\forbode01,LAK,D,0:45,81,,18:24,-4.3,1.8,2.4,,0:03,-50.7,14.1,0.0,,2:17,1.2,0.9,9.7
245,Derek Grant\grantde01,TOT,C,0:48,56,,9:57,-4.7,2.8,1.8,,0:05,14.7,0.0,0.0,,1:38,-4.7,0.0,4.4
246,Derek MacKenzie\mackede01,FLA,C,0:40,1,,2:43,-11.2,0.0,0.0,,0:00,,,,,0:00,,,
247,Derek Ryan\ryande01,CGY,C,0:40,81,,10:11,1.5,2.9,1.5,,1:41,-1.4,4.8,1.3,,1:55,-4.8,1.9,7.3
248,Derek Stepan\stepade01,ARI,C,0:35,72,,14:35,1.6,2.4,2.6,,2:42,-3.8,4.9,0.6,,1:55,6.2,1.7,5.4
249,Derick Brassard\brassde01,TOT,C,0:46,70,,13:19,-3.7,2.1,3.7,,1:35,-3.0,6.9,0.0,,0:05,,0.0,0.0
250,Derrick Pouliot\poulide01,VAN,D,0:37,62,,15:53,2.9,2.8,2.8,,1:09,-1.6,2.5,1.7,,0:06,-14.7,0.0,0.0
251,Deryk Engelland\engelde01,VEG,D,0:43,74,,16:35,-6.3,2.4,2.6,,0:04,-43.1,0.0,0.0,,3:12,-18.1,0.3,8.1
252,Devante Smith-Pelly\smithde06,WSH,RW,0:52,54,,9:09,-3.8,1.7,2.6,,0:02,-2.2,0.0,0.0,,1:39,0.2,0.0,7.3
253,Devin Shore\shorede01,TOT,C,0:39,76,,11:43,-0.4,2.2,3.8,,1:15,-10.8,7.9,2.6,,1:16,3.8,1.2,6.1
254,Devon Toews\toewsde01,NYI,D,0:43,48,,16:03,6.6,2.3,1.7,,1:46,-2.2,3.9,0.0,,0:04,91.8,0.0,0.0
255,Dillon Dube\dubedi01,CGY,C,0:45,25,,9:18,-7.3,2.3,1.8,,0:28,-11.8,0.0,0.0,,0:17,-2.1,0.0,16.5
256,Dillon Heatherington\heathdi01,DAL,D,0:47,5,,10:08,6.1,5.9,1.2,,0:03,14.3,0.0,0.0,,0:00,,,
257,Dion Phaneuf\phanedi01,LAK,D,0:36,67,,13:36,1.1,2.1,3.3,,0:38,-7.1,1.4,1.4,,0:44,5.7,0.0,9.1
258,Dmitrij Jaskin\jaskidm01,WSH,RW,1:04,37,,9:49,3.9,2.1,3.1,,0:01,14.2,0.0,0.0,,0:14,2.7,0.0,6.9
259,Dmitry Kulikov\kulikdm01,WPG,D,0:55,57,,14:35,-1.7,2.5,2.3,,0:05,15.5,0.0,0.0,,1:00,3.8,1.0,5.2
260,Dmitry Orlov\orlovdm01,WSH,D,0:51,82,,19:26,-1.2,2.8,2.7,,0:48,-6.3,1.8,0.9,,1:22,3.0,1.1,6.9
261,Dominic Toninato\tonindo01,COL,C,0:39,2,,6:28,-15.1,4.6,4.6,,0:00,,,,,0:14,-17.6,0.0,0.0
262,Dominic Turgeon\turgedo01,DET,C,0:39,4,,10:54,-0.1,0.0,4.1,,0:00,,,,,1:41,-24.5,0.0,26.7
263,Dominik Kahun\kahundo01,CHI,C,0:42,82,,13:01,0.5,3.0,2.5,,1:03,-2.6,3.4,0.0,,0:03,13.5,0.0,11.1
264,Dominik Simon\simondo01,PIT,C,0:44,71,,12:30,8.1,2.7,2.0,,0:49,-3.1,6.4,0.9,,0:00,-18.4,0.0,0.0
265,Dougie Hamilton\hamildo01,CAR,D,0:44,82,,17:33,4.9,2.9,2.8,,1:51,-4.8,5.1,1.2,,0:15,12.9,0.0,2.9
266,Drake Batherson\bathedr01,OTT,C,0:43,20,,11:32,-10.1,2.6,2.9,,1:52,-14.9,4.8,1.6,,0:00,,,
267,Drake Caggiula\caggidr01,TOT,LW,0:45,55,,13:18,0.6,3.1,4.2,,0:25,-10.7,0.0,5.6,,0:41,-1.4,4.3,12.8
268,Drew Doughty\doughdr01,LAK,D,0:51,82,,21:12,-1.3,2.0,2.9,,2:55,-0.9,7.0,2.5,,2:27,-4.2,0.6,9.8
269,Drew Stafford\staffdr01,NJD,RW,0:29,57,,11:20,-1.7,1.9,2.4,,0:53,-8.6,5.5,1.1,,0:02,-17.9,0.0,0.0
270,Dryden Hunt\huntdr01,FLA,LW,0:39,31,,10:58,-1.3,2.6,2.6,,0:03,-25.1,21.6,0.0,,0:00,,,
271,Duncan Keith\keithdu01,CHI,D,0:48,82,,19:36,0.8,3.5,3.1,,1:22,-2.1,4.8,0.5,,2:01,-3.5,0.7,11.2
272,Dustin Brown\browndu01,LAK,RW,0:47,72,,16:08,-1.9,2.8,3.3,,2:34,3.0,8.2,2.6,,1:42,-3.4,0.4,7.0
273,Dustin Byfuglien\byfugdu01,WPG,D,1:02,42,,19:29,3.0,2.9,2.3,,3:03,4.0,10.3,1.4,,1:48,5.1,0.8,6.3
274,Dylan DeMelo\demeldy01,OTT,D,0:43,77,,17:08,3.0,3.5,3.7,,0:28,-0.2,6.6,1.6,,1:39,-4.7,1.4,6.1
275,Dylan Gambrell\gambrdy01,SJS,C,0:39,8,,8:15,-2.9,0.9,0.0,,0:01,,0.0,0.0,,0:20,88.9,0.0,0.0
276,Dylan Larkin\larkidy01,DET,C,0:48,76,,18:04,10.2,3.1,3.2,,2:26,1.9,7.8,1.6,,1:18,4.2,1.8,7.2
277,Dylan McIlrath\mcilrdy01,DET,D,0:49,7,,13:18,3.3,2.6,1.3,,0:00,,,,,1:52,6.2,0.0,4.6
278,Dylan Sikura\sikurdy01,CHI,C,0:39,33,,11:16,7.6,2.7,2.4,,0:00,9.3,138.5,0.0,,0:00,,,
279,Dylan Strome\stromdy01,TOT,C,0:47,78,,13:07,2.3,0.8,2.4,,2:59,1.7,6.2,3.7,,0:01,,0.0,0.0
280,Eeli Tolvanen\tolvaee01,NSH,RW,0:47,4,,11:49,7.0,2.5,0.0,,1:27,5.2,10.3,0.0,,0:00,,,
281,Egor Yakovlev\yakoveg01,NJD,D,0:41,25,,15:31,-3.1,2.2,3.1,,0:06,-29.3,0.0,0.0,,0:01,,0.0,0.0
282,Elias Lindholm\lindhel01,CGY,C,0:54,81,,14:33,1.9,3.9,2.7,,3:12,0.3,8.8,0.7,,2:16,0.0,3.2,6.8
283,Elias Pettersson\petteel01,VAN,C,1:04,71,,14:34,4.3,3.1,3.0,,3:34,0.4,7.3,0.2,,0:03,45.8,12.7,12.7
284,Eric Fehr\fehrer01,MIN,RW,0:43,72,,9:07,-3.3,1.8,2.6,,0:01,-37.0,0.0,0.0,,1:53,3.2,0.4,5.8
285,Eric Gryba\grybaer01,NJD,D,0:47,10,,14:00,4.6,2.2,2.7,,0:00,,0.0,0.0,,1:16,-0.9,0.0,7.0
286,Eric Robinson\robiner01,CBJ,LW,0:48,13,,11:44,-0.8,0.4,2.0,,0:05,16.1,0.0,0.0,,0:00,,,
287,Eric Staal\staaler01,MIN,C,1:01,81,,15:03,3.1,2.7,3.0,,2:48,2.7,7.8,0.5,,0:15,9.8,2.9,0.0
288,Eric Tangradi\tangrer01,NJD,C,0:47,6,,11:59,3.7,0.8,3.3,,1:46,-13.5,0.0,0.0,,0:01,,,
289,Erik Brannstrom\branner01,OTT,D,0:43,2,,16:04,1.1,1.9,1.9,,1:42,44.4,0.0,0.0,,0:17,71.4,0.0,0.0
290,Erik Burgdoerfer\burgder01,OTT,D,0:52,4,,10:14,0.6,0.0,1.5,,0:09,-81.8,0.0,0.0,,0:16,-3.0,0.0,53.7
291,Erik Cernak\cernaer01,TBL,D,0:48,58,,16:47,-1.3,3.6,2.3,,0:05,-13.8,24.4,0.0,,2:22,-0.1,2.2,1.7
292,Erik Condra\condrer01,DAL,RW,0:36,6,,11:29,9.1,0.9,2.6,,1:12,-13.3,0.0,0.0,,0:00,,,
293,Erik Gudbranson\gudbrer01,TOT,D,0:39,76,,16:08,-7.4,2.2,4.1,,0:02,14.0,0.0,0.0,,2:02,-2.1,0.5,8.3
294,Erik Gustafsson\gustaer02,CHI,D,0:43,79,,19:26,2.1,3.2,3.3,,3:02,1.6,8.0,1.3,,0:06,12.2,0.0,5.8
295,Erik Haula\haulaer01,VEG,LW,0:43,15,,14:04,5.8,2.3,2.0,,2:21,3.2,1.7,0.0,,0:09,82.3,0.0,0.0
296,Erik Johnson\johnser01,COL,D,0:45,80,,18:21,-2.2,2.9,2.8,,0:21,-8.8,7.4,0.0,,3:06,-0.9,1.2,7.0
297,Erik Karlsson\karlser01,SJS,D,0:51,53,,19:32,7.6,3.9,3.2,,3:06,-0.9,10.2,1.8,,1:50,3.7,0.6,6.2
298,Esa Lindell\lindees01,DAL,D,0:49,82,,19:55,-5.9,2.4,2.0,,1:09,-1.7,6.5,0.0,,3:14,-1.6,0.7,6.6
299,Evan Bouchard\bouchev01,EDM,D,0:50,7,,10:48,11.0,0.8,4.0,,1:27,-22.0,5.9,5.9,,0:05,-13.7,0.0,0.0
300,Evan Rodrigues\rodriev01,BUF,C,0:46,74,,12:47,2.0,2.5,3.0,,1:21,1.7,6.0,0.6,,1:40,9.2,1.5,6.8
301,Evander Kane\kaneev01,SJS,LW,0:48,75,,15:30,1.3,3.5,3.7,,1:55,2.1,8.3,1.2,,0:59,3.8,1.5,2.3
302,Evgeni Malkin\malkiev01,PIT,C,0:44,68,,15:21,0.7,3.0,3.7,,3:23,6.2,9.9,3.0,,0:03,-2.1,0.0,23.2
303,Evgenii Dadonov\dadonev01,FLA,RW,0:51,82,,15:00,1.9,3.7,3.5,,3:21,-0.9,10.7,2.4,,0:00,-18.3,0.0,76.6
304,Evgeny Kuznetsov\kuzneev01,WSH,C,0:50,76,,14:54,-1.5,3.7,3.1,,3:39,8.8,8.8,0.9,,0:13,15.3,0.0,10.7
305,Filip Chlapik\chlapfi01,OTT,C,0:54,5,,12:13,12.1,2.0,3.9,,1:38,33.8,0.0,0.0,,0:00,,,
306,Filip Chytil\chytifi01,NYR,C,0:52,75,,12:19,0.5,1.6,3.0,,1:27,-7.0,7.1,0.5,,0:00,,0.0,0.0
307,Filip Forsberg\forsbfi01,NSH,C,0:43,64,,14:32,5.7,3.7,3.1,,3:01,0.6,4.3,1.2,,1:02,12.2,1.8,3.6
308,Filip Hronek\hronefi01,DET,D,0:45,46,,17:06,4.0,2.3,3.0,,1:40,-2.3,7.0,0.8,,1:10,4.6,2.2,10.1
309,Filip Zadina\zadinfi01,DET,RW,0:48,9,,13:04,-6.9,1.0,3.6,,2:18,11.5,8.7,0.0,,0:00,,,
310,Frank Vatrano\vatrafr01,FLA,LW,0:43,81,,12:59,0.7,2.3,2.7,,1:39,0.7,7.2,0.9,,0:01,-18.3,0.0,32.4
311,Frans Nielsen\nielsfr01,DET,C,0:39,72,,13:04,-3.2,2.8,3.1,,2:13,-0.6,4.9,1.1,,1:22,0.5,0.6,7.9
312,Frederick Gaudreau\gaudrfr01,NSH,C,0:41,55,,8:59,2.5,1.6,1.5,,0:01,,0.0,0.0,,0:00,,,
313,Frederik Gauthier\gauthfr01,TOR,C,0:43,70,,8:08,-6.8,2.5,2.2,,0:01,-12.6,0.0,0.0,,0:11,-0.7,0.0,9.2
314,Fredrik Claesson\claesfr01,NYR,D,0:44,37,,15:39,3.0,2.0,2.0,,0:00,-85.9,0.0,0.0,,1:34,11.4,2.0,9.2
315,Gabriel Bourque\bourqga01,COL,LW,0:45,55,,7:13,-9.3,2.3,2.1,,0:01,12.0,0.0,0.0,,2:30,-0.9,0.9,7.9
316,Gabriel Carlsson\carlsga01,CBJ,D,0:33,1,,8:22,-12.8,0.0,7.2,,0:00,,,,,0:59,0.0,0.0,0.0
317,Gabriel Landeskog\landega01,COL,LW,1:02,73,,16:45,3.8,3.8,2.8,,4:05,-0.5,8.7,0.6,,0:17,-6.0,0.0,5.5
318,Garnet Hathaway\hathaga01,CGY,RW,0:33,76,,8:38,-4.7,2.5,1.6,,0:11,-2.6,0.0,0.0,,1:41,-2.2,1.9,4.7
319,Garrett Wilson\wilsoga01,PIT,LW,0:38,50,,6:59,-3.4,2.1,1.7,,0:00,,0.0,0.0,,0:36,-6.7,0.0,8.2
320,Gavin Bayreuther\bayrega01,DAL,D,0:47,19,,16:19,2.1,2.3,1.9,,1:20,1.3,4.7,0.0,,0:31,-4.2,0.0,0.0
321,Gemel Smith\smithge02,TOT,C,0:37,17,,8:20,-11.1,2.1,2.7,,0:00,,,,,0:02,86.8,0.0,0.0
322,Greg McKegg\mckeggr01,CAR,C,0:40,41,,10:30,-4.4,2.2,2.5,,0:06,-9.5,0.0,0.0,,0:02,-12.7,0.0,0.0
323,Greg Pateryn\patergr01,MIN,D,0:53,80,,15:19,-2.6,2.0,2.5,,0:02,-23.9,3.6,0.0,,1:45,-6.0,0.0,4.7
324,Guillaume Brisebois\brisegu01,VAN,D,0:37,8,,10:58,0.4,1.4,4.1,,0:02,,,,,0:00,,,
325,Gustav Forsling\forslgu02,CHI,D,0:44,43,,15:46,-0.3,1.7,2.6,,0:12,-2.2,6.5,0.0,,1:05,2.1,1.3,10.3
326,Gustav Nyquist\nyquigu01,TOT,RW,0:44,81,,15:20,7.1,3.3,3.2,,2:09,-1.0,5.4,1.4,,0:01,19.9,0.0,36.4
327,Hampus Lindholm\lindhha01,ANA,D,0:45,76,,19:41,2.4,2.6,2.8,,1:13,-0.6,6.3,1.9,,3:04,0.0,1.0,7.0
328,Haydn Fleury\fleurha01,CAR,D,0:34,20,,12:09,-2.8,3.2,2.5,,0:02,,0.0,0.0,,0:20,-7.5,9.0,0.0
329,Henri Jokiharju\jokihhe01,CHI,D,0:54,38,,17:10,5.4,2.9,3.4,,0:59,-5.2,6.3,1.6,,0:48,-4.1,0.0,5.7
330,Henrik Borgström\borgshe01,FLA,C,0:47,50,,10:52,-1.0,2.2,3.5,,1:06,2.4,9.7,2.2,,0:01,,0.0,0.0
331,Ian Cole\coleia01,COL,D,0:49,71,,16:22,0.9,2.7,3.1,,0:05,11.5,0.0,0.0,,3:17,0.0,1.0,8.3
332,Ian McCoshen\mccosia01,FLA,D,0:45,19,,12:19,-5.1,2.1,2.6,,0:00,,0.0,0.0,,0:59,-2.0,0.0,0.0
333,Igor Ozhiganov\ozhigig01,TOR,D,0:46,53,,13:55,3.0,2.5,2.5,,0:01,11.1,0.0,0.0,,0:04,-13.5,0.0,0.0
334,Ilya Kovalchuk\kovalil01,LAK,LW,0:41,64,,13:26,-2.2,2.1,3.5,,2:47,-0.2,6.1,2.4,,0:00,,,
335,Ilya Lyubushkin\lyubuil01,ARI,D,0:43,41,,13:27,-2.6,1.8,2.6,,0:02,15.3,0.0,0.0,,0:14,8.3,0.0,4.2
336,Isac Lundestrom\lundeis01,ANA,C,0:43,15,,11:50,-3.2,2.0,2.4,,0:23,-45.2,0.0,0.0,,0:47,-5.3,0.0,10.1
337,Ivan Barbashev\barbaiv01,STL,C,0:43,80,,9:53,-3.9,2.1,2.6,,0:03,11.2,0.0,0.0,,1:34,6.2,0.9,7.9
338,Ivan Provorov\provoiv01,PHI,D,0:54,82,,20:38,-2.0,2.9,3.4,,1:33,-10.0,3.3,2.4,,2:54,2.2,0.7,7.2
339,J.T. Brown\brownjt01,MIN,RW,0:49,56,,8:55,-3.7,2.1,2.1,,0:00,14.7,0.0,0.0,,0:13,13.3,0.0,9.4
340,J.T. Compher\comphj.01,COL,LW,0:46,66,,12:28,-4.1,2.6,3.3,,3:06,3.9,8.5,0.6,,1:53,-1.7,1.4,7.2
