,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
27,David Backes\backeda01,34,BOS,C,70,783,654,54.5,1.4,597,483,55.3,1.5,5.5,94.3,99.8,47.8,52.2,13:02,11:12,33,26,0.2,199,64.8
28,Mikael Backlund\backlmi01,29,CGY,C,77,1217,995,55.0,1.9,922,770,54.5,2.0,10.3,93.1,103.4,52.2,47.8,17:54,14:51,78,55,8.3,340,60.3
29,Nicklas Backstrom\backsni02,31,WSH,C,80,1210,1213,49.9,1.3,905,898,50.2,1.6,11.0,89.6,100.6,50.7,49.3,19:57,15:19,53,62,-3.6,287,58.9
30,Sven Baertschi\baertsv01,26,VAN,LW,26,268,324,45.3,-0.2,200,237,45.8,-0.8,8.1,89.3,97.4,64.8,35.2,15:06,11:54,10,6,-3.7,70,61.4
31,Josh Bailey\bailejo01,29,NYI,C,82,1051,1130,48.2,0.7,778,821,48.7,0.8,10.2,91.6,101.8,56.3,43.8,16:50,14:19,41,80,5.4,221,57.0
32,Justin Bailey\baileju01,23,PHI,RW,11,59,75,44.0,-1.8,36,54,40.0,-4.9,8.0,94.9,102.9,46.2,53.8,5:44,5:44,3,2,-1.0,14,35.7
33,Rudolfs Balcers\balceru01,21,OTT,LW,36,324,421,43.5,-2.9,244,311,44.0,-3.7,6.9,92.4,99.3,52.4,47.6,12:21,10:41,11,15,-2.7,88,54.5
34,Ivan Barbashev\barbaiv01,23,STL,C,80,674,710,48.7,-3.9,510,520,49.5,-3.6,7.5,91.1,98.7,37.3,62.7,11:31,9:51,36,14,-5.6,109,55.0
35,Mark Barberio\barbema01,28,COL,D,12,112,164,40.6,-11.8,81,125,39.3,-11.4,6.7,87.5,94.2,45.0,55.0,15:14,12:43,3,8,-2.2,26,42.3
36,Aleksander Barkov\barkoal01,23,FLA,C,82,1298,1318,49.6,0.2,1002,1023,49.5,-0.6,11.5,88.6,100.1,45.0,55.0,22:21,16:46,100,69,-1.3,318,65.1
37,Tyson Barrie\barrity01,27,COL,D,78,1480,1314,53.0,4.5,1105,964,53.4,4.8,8.4,90.6,99.0,64.1,35.9,21:47,17:36,28,41,9.2,425,51.3
38,Matt Bartkowski\bartkma01,30,MIN,D,2,15,23,39.5,-13.2,10,19,34.5,-21.7,22.2,100.0,122.2,71.4,28.6,10:42,10:42,0,0,-0.8,5,40.0
39,Mathew Barzal\barzama01,21,NYI,C,82,1222,1121,52.2,6.3,885,814,52.1,5.7,8.0,90.9,99.0,62.5,37.5,17:55,14:51,66,117,9.7,293,61.1
40,Nathan Bastian\bastina01,21,NJD,RW,7,70,62,53.0,3.4,52,48,52.0,3.8,7.3,90.9,98.2,45.8,54.2,12:41,10:54,1,0,0.5,18,72.2
41,Drake Batherson\bathedr01,20,OTT,C,20,150,277,35.1,-10.1,120,195,38.1,-7.4,11.2,91.5,102.7,49.6,50.4,13:25,11:32,7,12,-0.8,27,66.7
42,Gavin Bayreuther\bayrega01,24,DAL,D,19,284,306,48.1,2.1,217,224,49.2,2.7,7.8,93.8,101.5,41.7,58.3,18:11,16:19,8,13,-0.2,62,40.3
43,Jay Beagle\beaglja01,33,VAN,RW/C,57,451,665,40.4,-9.3,348,485,41.8,-8.1,7.9,91.4,99.4,18.5,81.5,13:39,10:56,13,10,-7.9,71,63.4
44,Jake Bean\beanja01,20,CAR,D,2,9,28,24.3,-16.4,7,21,25.0,-13.9,0.0,100.0,100.0,31.3,68.8,8:28,8:18,1,0,-0.5,2,50.0
45,Nathan Beaulieu\beaulna01,26,TOT,D,48,631,649,49.3,3.1,496,493,50.2,3.7,10.3,91.6,101.9,50.8,49.2,15:30,14:40,9,22,-1.8,106,56.6
46,Anthony Beauvillier\beauvan01,21,NYI,LW,81,979,990,49.7,2.5,717,719,49.9,2.2,8.2,92.0,100.2,58.1,41.9,14:39,12:56,34,30,4.6,246,63.0
47,Matt Beleskey\belesma01,30,NYR,LW,4,19,33,36.5,-8.9,14,27,34.1,-10.4,12.5,100.0,112.5,27.3,72.7,7:22,7:22,0,2,-0.5,6,50.0
48,Pierre-Edouard Bellemare\bellepi01,33,VEG,LW,76,783,678,53.6,-1.2,579,503,53.5,-1.1,6.6,91.9,98.6,54.5,45.5,12:25,10:22,37,23,6.9,185,57.8
49,Louie Belpedio\belpelo01,22,MIN,D,2,22,28,44.0,-4.8,16,19,45.7,-3.7,7.7,91.7,99.4,61.5,38.5,13:08,13:07,0,0,0.0,1,0.0
50,Jamie Benn\bennja01,29,DAL,LW,78,1230,1214,50.3,2.3,894,888,50.2,1.7,9.3,92.9,102.2,57.4,42.6,18:14,15:07,44,80,7.1,329,57.4
51,Jordie Benn\bennjo01,31,MTL,D,81,1293,1129,53.4,-1.1,940,831,53.1,-0.5,9.7,90.8,100.5,49.0,51.0,18:12,15:23,19,71,5.1,198,47.0
52,Sam Bennett\bennesa01,22,CGY,C,71,871,758,53.5,-0.2,637,573,52.6,-0.5,7.8,90.2,98.1,54.2,45.8,13:17,11:33,25,38,7.1,205,55.6
53,Matt Benning\bennima01,24,EDM,D,70,827,877,48.5,0.5,610,676,47.4,-0.4,10.0,92.1,102.1,50.7,49.3,14:57,13:08,10,49,2.5,181,51.9
54,Patrice Bergeron\bergepa01,33,BOS,C,65,987,746,57.0,6.1,744,547,57.6,6.2,12.0,89.9,101.9,58.8,41.2,18:28,13:30,42,27,4.7,369,55.6
55,Patrik Berglund\berglpa01,30,BUF,C,23,215,230,48.3,-1.5,159,174,47.7,-2.9,5.6,92.0,97.6,20.2,79.8,13:03,11:22,6,5,-3.1,45,55.6
56,Tyler Bertuzzi\bertuty01,23,DET,LW,73,1001,1020,49.5,2.8,750,809,48.1,2.1,11.3,91.7,103.0,46.0,54.0,16:31,14:47,34,43,-7.0,249,52.6
57,Alex Biega\biegaal01,30,VAN,D,41,679,652,51.0,2.6,520,492,51.4,3.7,9.1,90.9,100.1,48.7,51.3,17:40,16:54,4,17,-1.8,183,49.7
58,Clark Bishop\bishocl01,22,CAR,C,20,188,183,50.7,-3.2,138,137,50.2,-3.6,8.2,88.3,96.5,62.6,37.4,9:27,9:06,5,5,1.3,37,43.2
59,Anthony Bitetto\bitetan01,28,TOT,D,36,382,379,50.2,-4.0,296,283,51.1,-2.8,6.2,90.9,97.1,59.4,40.6,11:56,11:43,6,13,-6.9,70,42.9
60,Anders Bjork\bjorkan01,22,BOS,LW,20,181,195,48.1,-3.6,136,132,50.7,-0.6,4.0,94.9,98.9,62.2,37.8,11:48,10:53,11,9,-1.1,37,48.6
61,Oliver Bjorkstrand\bjorkol01,23,CBJ,RW,77,798,720,52.6,2.9,614,523,54.0,3.7,9.3,91.1,100.4,55.2,44.8,12:20,11:05,31,14,4.3,261,61.7
62,Nick Bjugstad\bjugsni01,26,TOT,C,64,882,812,52.1,2.1,676,627,51.9,1.7,6.2,94.7,100.9,47.6,52.4,15:07,13:36,37,39,5.4,233,66.1
63,Colin Blackwell\blackco01,25,NSH,C,6,71,53,57.3,7.1,47,36,56.6,5.0,0.0,96.6,96.6,63.2,36.8,9:44,9:38,2,3,0.2,12,41.7
64,Sammy Blais\blaissa01,22,STL,LW,32,260,251,50.9,-0.5,194,186,51.1,-0.7,6.8,91.9,98.7,51.2,48.8,9:51,9:40,11,11,1.2,42,64.3
65,Joseph Blandisi\blandjo01,24,TOT,C,9,57,76,42.9,-5.2,42,59,41.6,-6.6,7.1,92.9,100.0,24.0,76.0,7:27,7:13,3,0,-1.0,15,53.3
66,Anton Blidh\blidhan01,23,BOS,LW,1,7,7,50.0,-16.7,5,4,55.6,-14.8,0.0,100.0,100.0,50.0,50.0,13:46,12:20,1,0,-0.4,0,
